id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0usLN2VpccZQwWkGLm3Odm,2013 Will Be My Year,0,161045,0,['Jay and Others :>'],['3pwVqfe1xCnGTTnbVjYf74'],2021-04-16,0.347,0.965,10,-6.014,1,0.142,0.0504,0.0,0.343,0.392,90.987,4
1Nlstdx5q4GVUyaQqHYvqh,Inner City Life - 2020 Remaster,0,422183,0,['Goldie'],['2SYqJ3uDLLXZNyZdLKBy4M'],2021-04-16,0.384,0.889,7,-6.548,1,0.0936,0.00226,0.425,0.0728,0.112,154.886,4
4BvreMl8IerW37NLYtBZ9e,Blow Your Mind (Mwah),0,178583,0,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],2021-04-16,0.677,0.796,2,-4.761,0,0.117,0.0188,0.0,0.0948,0.494,108.851,4
4K9PNGfQMYnMsY9zEDKDLC,Break My Heart,0,352453,0,"['Dua Lipa', 'Moodymann']","['6M2wZ9GZgrQXHCFfjv46we', '6pohviZSNRueSX7uNu63ZX']",2021-04-16,0.772,0.637,4,-7.846,0,0.0494,0.022,0.0353,0.0898,0.409,113.022,4
5xZAMT6xqi8sXUHcccwzK2,Love Again,0,258004,0,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],2021-04-16,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,4
0ZwGh5keVMD6wSiKONwN5x,That's What I Like,0,205080,0,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],2021-04-16,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,4
1C7DMS3sefDK896FSTFZak,Count On Me,0,197373,0,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],2021-04-16,0.577,0.397,0,-5.981,1,0.0281,0.84,0.0,0.0772,0.508,89.045,4
3oQUjBXiknz4RMqRauIXOr,Just the Way You Are,0,220733,0,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],2021-04-16,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,4
0foF9HH4jG33sQRFAkZ86N,Perfect,0,263400,0,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],2021-04-16,0.598,0.448,8,-6.312,1,0.0232,0.162,0.0,0.106,0.168,95.009,3
3s35WW2T3GbUnt7VXXVtW8,Two®,0,185276,0,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2021-04-16,0.48,0.642,7,-5.133,1,0.0379,0.427,0.0,0.0943,0.0374,142.917,4
46Zv9xtOZm0VdHbRKC4vRL,XO Tour Llif3,0,182707,0,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2021-04-16,0.732,0.746,11,-6.367,0,0.226,0.00276,0.0,0.109,0.407,155.096,4
4x4KipRV76m5jsqbo6Qdii,P2,0,234627,0,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2021-04-16,0.775,0.72,11,-5.353,0,0.193,0.0236,0.0,0.114,0.49,155.086,4
7CzIZIPqlYWmIw57QM0dRF,Myron,0,224955,0,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2021-04-16,0.771,0.654,8,-6.976,0,0.298,0.055,0.0,0.214,0.573,155.047,4
